,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Hold On","Justin Bieber",1422624,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
54,"a m a r i","J. Cole",1406116,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
55,"SUN GOES DOWN","Lil Nas X",1405910,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
56,"WITHOUT YOU","The Kid LAROI",1364320,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
57,Streets,"Doja Cat",1331327,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
58,Rasputin,Majestic,1330269,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
59,"Someone You Loved","Lewis Capaldi",1324067,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
60,"Don't Start Now","Dua Lipa",1312935,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
61,Poblado,Crissin,1303581,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
62,"Dark Side","Blind Channel",1288760,https://open.spotify.com/track/6A8B1kJ9ZNHbl2uFPN6Wtm
63,"LA NOCHE DE ANOCHE","Bad Bunny",1274562,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
64,BED,"Joel Corry",1270759,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
65,911,Sech,1270050,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
66,"Talking to the Moon","Bruno Mars",1252420,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
67,Miénteme,TINI,1202042,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
68,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",1199201,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
69,SHUM,Go_A,1187927,https://open.spotify.com/track/7mEDVrAHDnQJStDo8jKJJm
70,"GANG GANG (with Lil Wayne)","Polo G",1170559,https://open.spotify.com/track/4VW44pawoOHPUjlN7DX5vk
71,"Sweater Weather","The Neighbourhood",1168420,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
72,"Dick (feat. Doja Cat)",StarBoi3,1165855,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
73,"Tout l'univers","Gjon's Tears",1160344,https://open.spotify.com/track/3MvY2XbGYFi6p2dgmdcOYG
74,Bipolar,"Mc Davi",1150123,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
75,malibu,sangiovanni,1136664,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
76,"Head & Heart (feat. MNEK)","Joel Corry",1135474,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
77,Levitating,"Dua Lipa",1124751,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
78,"Dance Monkey","Tones And I",1119712,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
79,"Sal y Perrea",Sech,1114204,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
80,512,Mora,1108548,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
81,"We're Good","Dua Lipa",1105377,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
82,"Volta Bebê, Volta Neném","Dj Guuga",1103280,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
83,"Todo De Ti","Rauw Alejandro",1099001,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
84,"Wants and Needs (feat. Lil Baby)",Drake,1093452,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
85,positions,"Ariana Grande",1090789,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
86,"Calling My Phone","Lil Tjay",1088031,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
87,"10 Years","Daði Freyr",1086420,https://open.spotify.com/track/4O0LQKVT6hGmVGNwizmydg
88,"Best Friend (feat. Doja Cat)",Saweetie,1086250,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
89,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1076960,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
90,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1070915,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
91,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1067785,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
92,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1066949,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
93,"Hecha Pa' Mi",Boza,1045275,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
94,"Cover Me In Sunshine",P!nk,1044998,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
95,"i n t e r l u d e","J. Cole",1033723,https://open.spotify.com/track/08LwMWf5Tcfsd752EPzFV0
96,"Film out",BTS,1008480,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
97,"you broke me first","Tate McRae",1006036,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
98,"Another Love","Tom Odell",996649,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
99,"lovely (with Khalid)","Billie Eilish",995283,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
100,"Roses - Imanbek Remix","SAINt JHN",984149,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
101,34+35,"Ariana Grande",971134,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
102,"Before You Go","Lewis Capaldi",969738,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
103,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,948397,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
104,"Good Days",SZA,942240,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
105,Heather,"Conan Gray",941268,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
106,"Tipo Gin - Ao Vivo","MC Kevin o Chris",933346,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
107,"Paradise (feat. Dermot Kennedy)",MEDUZA,929022,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
108,Circles,"Post Malone",924174,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
109,"WAP (feat. Megan Thee Stallion)","Cardi B",923991,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
110,"El Diablo","Elena Tsagrinou",923682,https://open.spotify.com/track/5qqQgao22OUr6rx3y0TPIe
111,Reloj,"Rauw Alejandro",919145,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
112,"Butter (Instrumental)",BTS,918111,https://open.spotify.com/track/1e0Wxoraz9IzFhREDqgJAe
113,Freaks,"Surf Curse",916028,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
114,Run,OneRepublic,911524,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
115,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",900553,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
116,goosebumps,"Travis Scott",899637,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
117,Believer,"Imagine Dragons",888085,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
118,"Ella No Es Tuya - Remix","Rochy RD",881659,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
119,"Boy With Luv (feat. Halsey)",BTS,873395,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
120,"Wasted Love (feat. Lagique)",Ofenbach,871377,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
121,"Shy Away","Twenty One Pilots",870276,https://open.spotify.com/track/2nG54Y4a3sH9YpfxMolOyi
122,"Higher Power",Coldplay,868347,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
123,"What You Know Bout Love","Pop Smoke",866274,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
124,Shallow,"Lady Gaga",861505,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
125,"Je me casse",Destiny,854971,https://open.spotify.com/track/559RWsQqSe4fNUffI9P7mW
126,"bad guy","Billie Eilish",853099,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
127,"Lucid Dreams","Juice WRLD",850868,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
128,Whoopty,CJ,849694,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
129,"My Head & My Heart","Ava Max",848445,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
130,"Martin & Gina","Polo G",844017,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
131,"Bohemian Rhapsody - Remastered 2011",Queen,842741,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
132,Discoteque,"THE ROOP",842722,https://open.spotify.com/track/7dMOzsTZOUtOF7W5kLN0gf
133,"Our Song",Anne-Marie,841162,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
134,"Shape of You","Ed Sheeran",837242,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
135,Hawái,Maluma,835730,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
136,Memories,"Maroon 5",835457,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
137,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",831125,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
138,Saturday,"Twenty One Pilots",829125,https://open.spotify.com/track/60dwJ8dnqZ4WrIdiu7LkNR
139,"death bed (coffee for your head)",Powfu,828765,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
140,"Liberdade (Quando o Grave Bate Forte)",Alok,820025,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
141,"Dreams - 2004 Remaster","Fleetwood Mac",818167,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
142,"Disco Arranhado - Funk Remix",Malu,816860,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
143,Señorita,"Shawn Mendes",815204,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
144,"Follow You","Imagine Dragons",811364,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
145,Aloha,Maluma,809267,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
146,"Take Me To Church",Hozier,805982,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
147,"9 5 . s o u t h","J. Cole",804313,https://open.spotify.com/track/5R691ipUYRDYW6ehapjoj6
148,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",796942,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
149,"Never Left","Lil Tecca",796089,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
150,"Every Breath You Take","The Police",789519,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
151,"Adore You","Harry Styles",789185,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
152,Perfect,"Ed Sheeran",783579,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
153,Voices,Tusse,781736,https://open.spotify.com/track/5zxZ7M4RgWZUHlMEwac8vt
154,"In the morning",ITZY,781711,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
155,"Therefore I Am","Billie Eilish",772005,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
156,"Mata Hari",Efendi,771763,https://open.spotify.com/track/3wuvVwA5RaifHz1uqKac8P
157,BICHOTA,"KAROL G",771751,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
158,"The Nights",Avicii,766347,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
159,"Another One Bites The Dust - Remastered 2011",Queen,762860,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
160,"Seeing Green (with Drake & Lil Wayne)","Nicki Minaj",762527,https://open.spotify.com/track/1TZv3bujNaYz646eezRE91
